x,y,block,inside_target
37.875,-0.45,-0.0003298783013354656,False
38.0,-0.45,0.000910567592848672,False
38.125,-0.45,0.0020392390280805045,False
38.25,-0.45,0.0025830506487192753,False
38.375,-0.45,0.002316307122354742,False
38.5,-0.45,0.0013567522304816862,False
38.625,-0.45,0.00010713294677764632,False
38.75,-0.45,-0.0009268370819138839,False
38.875,-0.45,-0.0013568514901153017,False
39.0,-0.45,-0.001071669510954886,False
39.125,-0.45,-0.00026827927002783154,False
39.25,-0.45,0.0006529571555027823,False
39.375,-0.45,0.0012758634707869503,False
39.5,-0.45,0.0013513029762948494,False
39.625,-0.45,0.0008945425074271404,False
39.75,-0.45,0.0001587135381158366,False
39.875,-0.45,-0.0004966797565285456,False
40.0,-0.45,-0.0007773114490457697,False
40.125,-0.45,-0.0005861695879564095,False
40.25,-0.45,-5.8487310823794624e-05,False
40.375,-0.45,0.0005118991914897159,False
40.5,-0.45,0.0008169097271565788,False
40.625,-0.45,0.0006814217369741629,False
40.75,-0.45,0.00014694537547241525,False
40.875,-0.45,-0.0005438458529339483,False
41.0,-0.45,-0.0010523738861311729,False
41.125,-0.45,-0.0010910643287541997,False
41.25,-0.45,-0.0005476909295428688,False
41.375,-0.45,0.0004647503925507932,False
41.5,-0.45,0.001650807604541677,False
41.625,-0.45,0.0026466883421497633,False
41.75,-0.45,0.0031563309571010618,False
