x,y,block
20.2725,-0.1975,-4.601797575728423e-08
20.275,-0.1975,-4.5196428279845485e-08
20.2775,-0.1975,-4.435619196280071e-08
20.28,-0.1975,-4.349363042905781e-08
20.2825,-0.1975,-4.260767148207528e-08
20.285,-0.1975,-4.16997061727983e-08
20.2875,-0.1975,-4.0773487318763555e-08
20.29,-0.1975,-3.983502755856115e-08
20.2925,-0.1975,-3.889249701279187e-08
20.295,-0.1975,-3.7956120633367375e-08
20.2975,-0.1975,-3.703807531226527e-08
20.3,-0.1975,-3.615238683021172e-08
20.3025,-0.1975,-3.5314826712453494e-08
20.305,-0.1975,-3.454280907697671e-08
20.3075,-0.1975,-3.38552875341794e-08
20.31,-0.1975,-3.327265222328007e-08
20.3125,-0.1975,-3.281662705067313e-08
20.315,-0.1975,-3.2510167200909116e-08
20.3175,-0.1975,-3.237735699672443e-08
20.32,-0.1975,-3.2443308169122e-08
20.3225,-0.1975,-3.2734058612264576e-08
20.325,-0.1975,-3.327647169260251e-08
20.3275,-0.1975,-3.409813617067282e-08
20.33,-0.1975,-3.522726681122671e-08
20.3325,-0.1975,-3.669260574215498e-08
20.335,-0.1975,-3.8523324627729484e-08
20.3375,-0.1975,-4.074892771909298e-08
20.34,-0.1975,-4.339915584609176e-08
20.3425,-0.1975,-4.650389141010937e-08
20.345,-0.1975,-5.0093064438034345e-08
20.3475,-0.1975,-5.4196559764405585e-08
20.35,-0.1975,-5.8844125385647044e-08
20.3525,-0.1975,-6.406528205927792e-08
20.355,-0.1975,-6.988923419628546e-08
20.3575,-0.1975,-7.634478210172599e-08
20.36,-0.1975,-8.346023562485791e-08
20.3625,-0.1975,-9.126332926244617e-08
20.365,-0.1975,-9.978113877618093e-08
20.3675,-0.1975,-1.0903999937065111e-07
20.37,-0.1975,-1.1906542548155239e-07
20.3725,-0.1975,-1.298820322267007e-07
20.375,-0.1975,-1.415134585628039e-07
20.3775,-0.1975,-1.5398229219878075e-07
20.38,-0.1975,-1.673099963078492e-07
20.3825,-0.1975,-1.815168380837669e-07
20.385,-0.1975,-1.9662181918553603e-07
20.3875,-0.1975,-2.1264260810912163e-07
20.39,-0.1975,-2.2959547452849275e-07
20.3925,-0.1975,-2.4749522564750635e-07
20.395,-0.1975,-2.6635514459471086e-07
20.3975,-0.1975,-2.861869309056244e-07
20.4,-0.1975,-3.0700064311930897e-07
20.4025,-0.1975,-3.288046435323677e-07
20.405,-0.1975,-3.516055451350877e-07
20.4075,-0.1975,-3.754081607688878e-07
20.41,-0.1975,-4.0021545452681007e-07
20.4125,-0.1975,-4.2602849543849885e-07
20.415,-0.1975,-4.528464134508105e-07
20.4175,-0.1975,-4.806663577486539e-07
20.42,-0.1975,-5.094834574247171e-07
20.4225,-0.1975,-5.392907845331864e-07
20.425,-0.1975,-5.700793195477492e-07
20.4275,-0.1975,-6.01837919237013e-07
20.43,-0.1975,-6.345532869898911e-07
20.4325,-0.1975,-6.682099456007259e-07
20.435,-0.1975,-7.027902125304464e-07
20.4375,-0.1975,-7.382741776668625e-07
20.44,-0.1975,-7.746396835925125e-07
20.4425,-0.1975,-8.118623083733663e-07
20.445,-0.1975,-8.499153508818892e-07
20.4475,-0.1975,-8.88769818667406e-07
20.45,-0.1975,-9.283944183746677e-07
20.4525,-0.1975,-9.687555487248828e-07
20.455,-0.1975,-1.0098172960691093e-06
20.4575,-0.1975,-1.0515414325035572e-06
20.46,-0.1975,-1.0938874165689682e-06
20.4625,-0.1975,-1.136812396525214e-06
20.465,-0.1975,-1.180271216198529e-06
20.4675,-0.1975,-1.2242164234211645e-06
20.47,-0.1975,-1.2685982810294664e-06
20.4725,-0.1975,-1.3133647804491722e-06
20.475,-0.1975,-1.3584616578411642e-06
20.4775,-0.1975,-1.4038324128121062e-06
20.48,-0.1975,-1.449418329684833e-06
20.4825,-0.1975,-1.4951585013054617e-06
20.485,-0.1975,-1.5409898553988234e-06
20.4875,-0.1975,-1.5868471834425298e-06
20.49,-0.1975,-1.6326631720559453e-06
20.4925,-0.1975,-1.6783684368908628e-06
20.495,-0.1975,-1.7238915590081875e-06
20.4975,-0.1975,-1.7691591237111824e-06
20.5,-0.1975,-1.814095761848241e-06
20.0,-0.19625,-2.5718853158339027e-05
20.0025,-0.19625,-2.4806446384139788e-05
20.005,-0.19625,-2.3917111078843567e-05
20.0075,-0.19625,-2.3050578909720194e-05
20.01,-0.19625,-2.22065748998177e-05
20.0125,-0.19625,-2.138481780248841e-05
20.015,-0.19625,-2.0585020469772995e-05
20.0175,-0.19625,-1.980689021459949e-05
20.02,-0.19625,-1.9050129166738454e-05
20.0225,-0.19625,-1.8314434622535215e-05
20.025,-0.19625,-1.7599499388369093e-05
20.0275,-0.19625,-1.6905012117865876e-05
20.03,-0.19625,-1.623065764278513e-05
20.0325,-0.19625,-1.557611729765172e-05
20.035,-0.19625,-1.4941069238024783e-05
