sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.05,False,O5,True,2.8814433618994544,0.016609634134360854,0.015265184506318417,0.015265175855791636,0.10432532405382267,0.005777817441658846,0.005741431541271509,0.005741430426179154,0.5048303389904908,0.0062646810308836995,0.005840182428038622,0.0058401812513395905,0.06190118030086526,0.06190118030086526
0.05,False,O1,True,0.021785436768314827,0.021822547845989162,0.024334457803485664,0.024334457803485664,0.013960871629640577,0.003915367389073818,0.004089353760936305,0.004089353760936305,0.02198997930896815,0.003969023371140248,0.004107968647052069,0.004107968647052069,0.059530658627694105,0.03256692083780195
0.05,False,O2,True,0.06757948986278477,0.017010871232249494,0.021176497448940276,0.021176497448940276,0.03426204099285144,0.004036284901146228,0.0009094698719935725,0.0009094698719935725,0.07866990618061857,0.00683224949772631,0.005603290849049575,0.005603290849049575,0.05370620536879798,0.04544256141975778
0.05,False,O3,True,0.02447626181094277,0.011186034972910878,0.015031538855852032,0.015031538855852032,0.011503673634444933,0.013480709190221082,0.013483223478217196,0.013483223478217196,0.01150041378846727,0.012749137523700315,0.012738655114692451,0.012738655114692451,0.06518254988012324,0.04593138158340967
0.05,False,O4,True,0.02475538677827005,0.012778354212312933,0.011509723993779362,0.011509723993779362,0.01271957365203596,0.0009238549151809102,7.287091497522055e-05,7.287091497522055e-05,0.017624449861165993,0.0021357302939272425,0.002635497565959793,0.002635497565959793,0.07471919711348483,0.05942770360617565
0.05,False,O2,True,0.03392511625690523,0.019527648266767034,0.013810136109412962,0.013810136109412962,0.027133229512602216,0.0076168469275473966,0.004268276650340055,0.004268276650340055,0.036363684054067695,0.009374351878529093,0.005590734709544704,0.005590734709544704,0.06158015433449003,0.038474097689813934
0.05,False,O5,True,0.05679189004623125,0.011269632188982675,0.0134366979291019,0.013436697942850573,0.027155509200653447,0.003985051808486099,0.002431476860723254,0.002431476941559104,0.034311486585957236,0.005100604577866206,0.002949045849874184,0.0029490460783400314,0.06120310345821168,0.06120310345821168
0.05,False,O4,True,0.015121911547051703,0.011698210669073754,0.01332058978165391,0.01332058583678807,0.005406262005974053,0.001435508663741979,0.002210565423317,0.0022105647451119404,0.012579874895203116,0.002346439342151447,0.0032260987906058474,0.003226099123955693,0.056728156982770075,0.04007168063199602
0.05,False,O5,True,0.08240324092136236,0.014378760000014496,0.013710639079332985,0.013710631004641505,0.026492093000188493,0.003119922330972236,0.003643581962454374,0.0036435785106628442,0.02941482407913618,0.004468164328565737,0.005698052763567037,0.005698052721455324,0.05972749417511459,0.05972749417511459
0.05,False,O3,True,0.03658786495219094,0.019385605318047786,0.02283726694291464,0.02283726694291464,0.020966381186801986,0.004196799041071617,0.004376321725727282,0.004376321725727282,0.024457116477622415,0.010050799070140797,0.006937527819844588,0.006937527819844588,0.053277308031702476,0.03554659090499297
