s,round8_attack_deficit,round9_seed_deficit
2.100000000000000130e-02,0.000000000000000000e+00,2.787866946434438067e-02
2.120000000000000009e-02,0.000000000000000000e+00,2.794532394089190713e-02
2.140000000000000235e-02,0.000000000000000000e+00,2.801144841024586635e-02
2.160000000000000114e-02,0.000000000000000000e+00,2.807690813415163883e-02
2.179999999999999993e-02,0.000000000000000000e+00,2.814173571555857178e-02
2.200000000000000219e-02,0.000000000000000000e+00,2.820599675017260860e-02
2.220000000000000098e-02,0.000000000000000000e+00,2.826958949946385691e-02
2.239999999999999977e-02,0.000000000000000000e+00,2.833258146495084423e-02
2.260000000000000203e-02,0.000000000000000000e+00,2.839496953601125181e-02
2.280000000000000082e-02,0.000000000000000000e+00,2.845668625435647525e-02
2.299999999999999961e-02,0.000000000000000000e+00,2.851783536199923447e-02
2.320000000000000187e-02,0.000000000000000000e+00,2.857834242000410058e-02
2.340000000000000066e-02,0.000000000000000000e+00,2.863818122049507225e-02
2.359999999999999945e-02,0.000000000000000000e+00,2.869747606279382177e-02
2.380000000000000171e-02,0.000000000000000000e+00,2.875609556932115507e-02
2.400000000000000050e-02,0.000000000000000000e+00,2.881408274958272009e-02
2.420000000000000276e-02,0.000000000000000000e+00,2.887148679868530021e-02
2.440000000000000155e-02,0.000000000000000000e+00,2.892821375371120232e-02
2.460000000000000034e-02,0.000000000000000000e+00,2.898434614384024638e-02
2.480000000000000260e-02,0.000000000000000000e+00,2.903985545465848431e-02
2.500000000000000139e-02,0.000000000000000000e+00,2.909468641918926818e-02
2.520000000000000018e-02,0.000000000000000000e+00,2.914896243255608865e-02
2.540000000000000244e-02,0.000000000000000000e+00,2.920257463329599401e-02
2.560000000000000123e-02,0.000000000000000000e+00,2.925553384034240353e-02
2.580000000000000002e-02,0.000000000000000000e+00,2.930792739720528006e-02
2.600000000000000228e-02,0.000000000000000000e+00,2.935964170374033219e-02
2.620000000000000107e-02,0.000000000000000000e+00,2.941074525265093692e-02
2.639999999999999986e-02,0.000000000000000000e+00,2.946124161007797337e-02
2.660000000000000211e-02,0.000000000000000000e+00,2.951105883515801193e-02
2.680000000000000090e-02,0.000000000000000000e+00,2.956030940334462842e-02
2.699999999999999969e-02,0.000000000000000000e+00,2.960891045713541503e-02
2.720000000000000195e-02,0.000000000000000000e+00,2.965684790694990067e-02
2.740000000000000074e-02,0.000000000000000000e+00,2.970423489853137727e-02
2.760000000000000300e-02,0.000000000000000000e+00,2.975094414477293114e-02
2.780000000000000179e-02,0.000000000000000000e+00,2.979703637906478547e-02
2.800000000000000058e-02,0.000000000000000000e+00,2.984253516026243863e-02
2.820000000000000284e-02,0.000000000000000000e+00,2.988735769028119660e-02
2.840000000000000163e-02,0.000000000000000000e+00,2.993161167040751108e-02
2.860000000000000042e-02,0.000000000000000000e+00,2.997522840600969074e-02
2.880000000000000268e-02,0.000000000000000000e+00,3.001818016167297903e-02
2.900000000000000147e-02,0.000000000000000000e+00,3.006059518234822925e-02
2.920000000000000026e-02,0.000000000000000000e+00,3.010233761174983813e-02
2.940000000000000252e-02,0.000000000000000000e+00,3.014346587454515627e-02
