mu,gamma,chi_saturation,rho_cancellation,reserve_1_minus_chi,restoring_authority_kappa,max_real_eigenvalue,stability_margin
6.800000000000001,0.0,0.9988874639671398,1.0,0.0011125360328602119,0.2222596592871599,-0.33344568239508154,0.33344568239508154
6.850000000000001,0.0,0.9989416655655341,1.0,0.0010583344344659018,0.21144287253814512,-0.3036403110059124,0.3036403110059124
6.9,0.0,0.9989932291799144,1.0,0.0010067708200856007,0.20115144652028497,-0.2789829113400617,0.2789829113400617
6.950000000000001,0.0,0.9990422829475398,1.0,0.0009577170524601719,0.19135996610154196,-0.2578429561246297,0.2578429561246297
7.0,0.0,0.9990889488055994,1.0,0.0009110511944006028,0.18204423602435682,-0.23931673629547456,0.23931673629547456
7.050000000000001,0.0,0.9991333427889209,1.0,0.0008666572110791471,0.1731812232715485,-0.22283799551805172,0.22283799551805172
7.100000000000001,0.0,0.9991755753136018,1.0,0.0008244246863982063,0.1647490020669549,-0.20802226466210638,0.20802226466210638
7.15,0.0,0.9992157514472091,1.0,0.0007842485527909115,0.15672670139967138,-0.19459322437062954,0.19459322437062954
7.200000000000001,0.0,0.9992539711661634,1.0,0.000746028833836565,0.14909445496315207,-0.18234366835076643,0.18234366835076643
7.25,0.0,0.9992903296008994,1.0,0.000709670399100637,0.14183335340503328,-0.1711130185079277,0.1711130185079277
7.300000000000001,0.0,0.9993249172693672,1.0,0.00067508273063277,0.1349253987879143,-0.1607735251899025,0.1607735251899025
7.350000000000001,0.0,0.9993578202994141,1.0,0.0006421797005858876,0.1283534611636086,-0.1512213612670763,0.1512213612670763
7.4,0.0,0.9993891206405656,1.0,0.0006108793594343798,0.12210123716851937,-0.14237063483058243,0.14237063483058243
7.450000000000001,0.0,0.9994188962656985,1.0,0.0005811037343015357,0.11615321055030331,-0.13414922516181993,0.13414922516181993
7.5,0.0,0.9994472213630765,1.0,0.0005527786369234899,0.11049461454043237,-0.12649580262121884,0.12649580262121884
7.550000000000001,0.0,0.9994741665192034,1.0,0.0005258334807966003,0.10511139598943692,-0.11935764291061468,0.11935764291061468
