phi,z
1.422443340375378673e+00,1.467138255784092848e-01
1.431169986635350222e+00,1.457603568397515259e-01
1.439896632895321771e+00,1.447757293945724222e-01
1.448623279155293542e+00,1.437600156778431060e-01
1.457349925415265091e+00,1.427132906570604542e-01
1.466076571675236861e+00,1.416356309770314126e-01
1.474803217935208410e+00,1.405271173929820705e-01
1.483529864195180181e+00,1.393878324572568606e-01
1.492256510455151730e+00,1.382178611675973223e-01
1.500983156715123501e+00,1.370172899091964824e-01
1.509709802975095050e+00,1.357862099226379571e-01
1.518436449235066599e+00,1.345247134241911169e-01
1.527163095495038370e+00,1.332328945637179241e-01
1.535889741755009918e+00,1.319108521802158929e-01
1.544616388014981689e+00,1.305586844179398853e-01
1.553343034274953238e+00,1.291764956090265537e-01
1.562069680534925009e+00,1.277643885708349691e-01
1.570796326794896558e+00,1.263224723659339133e-01
1.579522973054868329e+00,1.248508557848612421e-01
1.588249619314839878e+00,1.233496510543627550e-01
1.596976265574811427e+00,1.218353287481463154e-01
1.605702911834783198e+00,1.203046510697682314e-01
1.614429558094754746e+00,1.187446172990336279e-01
1.623156204354726517e+00,1.171553460528719365e-01
1.631882850614698066e+00,1.155369600591217433e-01
1.640609496874669837e+00,1.139042116956755502e-01
1.649336143134641386e+00,1.122716283452726838e-01
1.658062789394613157e+00,1.106392807179938653e-01
1.666789435654584706e+00,1.090072400306499878e-01
1.675516081914556477e+00,1.073722857523663060e-01
